,manufact,sales,resale_mv,type,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg
4,39.98,20.397,22.255,0,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27
45,21.04727272727273,70.227,7.425,0,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30
102,22.36071428571429,79.853,15.125,0,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25
39,24.21363636363636,227.061,15.06,1,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17
36,24.21363636363636,71.186,10.185,0,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24
120,22.94916666666667,92.364,14.01,0,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25
149,17.69833333333333,49.463,12.80833333333333,0,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26
110,25.62283333333333,14.69,19.89,0,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22
12,26.78125,27.851,20.19,0,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24
11,26.78125,39.35,13.74,0,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23
85,20.74833333333333,14.351,8.8,0,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28
126,29.04583333333333,9.191,15.79,0,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23
97,52.91666666666666,11.592,30.9,0,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26
116,22.6425,1.872,20.26333333333333,0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21
2,28.67475,14.114,18.225,0,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26
107,25.62283333333333,1.112,11.24,0,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25
6,39.98,1.38,39.0,0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21
0,28.67475,16.919,16.36,0,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28
113,22.6425,32.734,7.75,0,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29
65,29.04583333333333,15.467,25.84833333333333,0,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21
55,21.04727272727273,260.9328499999997,15.075,1,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18
81,22.16742857142857,5.711,16.575,0,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22
84,22.16742857142857,39.348,13.88,1,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20
46,21.04727272727273,113.369,12.76,0,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24
62,12.16566666666667,66.692,7.825,0,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27
74,44.055,51.238,29.46666666666667,1,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21
119,22.94916666666667,19.911,17.805,0,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25
95,52.91666666666666,7.998,28.24166666666666,0,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26
103,22.36071428571429,27.308,15.38,1,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21
91,52.91666666666666,18.392,26.05,0,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26
10,26.78125,91.561,12.475,0,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25
34,24.21363636363636,76.034,7.75,0,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29
32,23.43083333333334,13.462,17.325,0,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23
130,14.271,5.223,10.79,0,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31
38,24.21363636363636,0.9369,58.47,0,5.7,325.7499999999996,96.2,75.7,176.7,3.375,19.0,16
83,22.16742857142857,11.337,19.125,1,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18
114,22.6425,5.24,9.8,0,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27
155,30.93333333333333,18.969,20.30166666666666,0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24
27,20.02277777777778,107.995,11.75333333333334,0,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27
23,20.02277777777778,26.402,13.025,0,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25
67,20.99166666666667,80.556,13.775,1,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20
9,33.09666666666666,17.527,36.125,0,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25
151,30.93333333333333,3.545,15.28166666666667,0,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25
100,22.36071428571429,42.643,8.45,0,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30
108,25.62283333333333,38.554,18.06833333333333,0,3.5,215.0,109.0,73.6,195.9,3.455,18.0,24
136,21.98288888888889,247.994,13.245,0,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27
87,20.74833333333333,67.956,11.03,0,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24
98,52.91666666666666,0.954,61.35999999999998,0,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20
145,17.69833333333333,83.721,13.24,0,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26
112,25.62283333333333,24.361,15.24,1,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22
64,29.04583333333333,23.713,19.69,0,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25
15,40.254,15.943,27.1,0,4.6,275.0,112.2,75.0,201.0,3.378025806451613,18.5,22
82,22.16742857142857,0.9369,20.94,0,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21
41,24.21363636363636,31.038,13.425,1,3.9,175.0,127.2,78.8,208.5,4.298,30.89999999999998,16
80,22.16742857142857,55.616,10.595,0,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25
52,21.04727272727273,155.787,13.175,1,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21
26,20.02277777777778,21.855,6.72075,0,1.555,96.4,93.1,62.6,149.4,1.895,11.9,33
76,41.69,48.911,21.725,0,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21
43,24.21363636363636,101.323,19.26333333333333,1,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17
24,20.02277777777778,17.947,36.225,0,5.7,325.7499999999996,104.5,73.6,179.7,3.21,19.1,22
154,30.93333333333333,3.493,29.91,0,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23
118,22.94916666666667,131.097,10.29,0,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25
132,14.271,49.989,12.16,0,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28
49,21.04727272727273,175.67,8.533333333333333,0,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30
21,20.02277777777778,24.629,10.31,0,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25
70,44.055,12.698,32.075,0,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23
3,28.67475,8.588,29.725,0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22
147,17.69833333333333,9.569,16.575,0,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26
30,23.43083333333334,31.148,13.725,0,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26
153,30.93333333333333,17.531,15.79,0,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25
121,22.94916666666667,35.945,13.225,0,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24
106,22.36071428571429,65.005,10.08166666666667,1,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18
47,21.04727272727273,35.068,8.835,0,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25
115,22.6425,24.155,12.025,1,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24
13,26.78125,83.257,13.36,0,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25
88,20.74833333333333,81.174,14.875,0,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21
8,33.09666666666666,9.231,28.675,0,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24
60,20.277,76.029,19.49,1,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23
128,14.271,80.62,9.2,0,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33
1,28.67475,39.384,19.875,0,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25
57,20.277,230.902,13.21,0,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27
22,20.02277777777778,42.593,11.525,0,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27
61,12.16566666666667,41.184,6.72075,0,1.555,96.4,96.1,65.7,166.7,2.24,11.9,31
63,12.16566666666667,29.45,8.91,0,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25
7,33.09666666666666,19.747,15.79,0,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26
152,30.93333333333333,15.245,15.79,0,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25
86,20.74833333333333,26.529,13.89,0,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30
96,52.91666666666666,1.526,27.36666666666666,0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27
68,20.99166666666667,157.04,18.81,1,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19
50,21.04727272727273,63.403,14.21,0,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21
139,21.98288888888889,84.087,9.575,1,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23
101,22.36071428571429,88.094,11.295,0,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25
20,20.02277777777778,135.126,11.225,0,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25
25,20.02277777777778,32.299,9.125,0,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33
134,29.04583333333333,33.028,11.69666666666667,1,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24
71,44.055,3.334,46.66666666666666,0,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21
129,14.271,24.546,10.59,0,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33
144,17.69833333333333,9.761,11.425,0,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26
79,22.16742857142857,42.541,10.395,0,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24
133,29.04583333333333,47.107,12.24166666666667,0,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25
137,21.98288888888889,63.849,18.14,0,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26
72,44.055,6.375,40.375,0,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22
140,21.98288888888889,65.119,13.515,1,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22
37,24.21363636363636,88.028,12.275,0,2.7,202.0,113.0,74.7,203.7,3.489,17.0,24
